run_id,domain_key,domain,min_rank,hit_count,queries,score,reason
20260312-102832,coastsystems.com,coastsystems.com,3,2,Mold risk prediction supplier -site:alibaba.com|Mold risk prediction manufacturer -site:alibaba.com,81,"排名靠前(+20); 多次命中(+5); 命中关键词: manufacturer, solution, system(+6)"
20260312-102832,sciencedirect.com,www.sciencedirect.com,1,3,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com|mold growth forecast; mold hazard analysis supplier -site:alibaba.com,80,排名靠前(+20); 多次命中(+10)
20260312-102832,ecomonitoring.com,www.ecomonitoring.com,3,1,Humidity monitoring supplier -site:alibaba.com,74,"排名靠前(+20); 命中关键词: manufacturer, product(+4)"
20260312-102832,matix.cloud,www.matix.cloud,1,1,Mold risk prediction supplier -site:alibaba.com,72,排名靠前(+20); 命中关键词: system(+2)
20260312-102832,simform.app,simform.app,3,1,Mold risk prediction supplier -site:alibaba.com,72,排名靠前(+20); 命中关键词: product(+2)
20260312-102832,corbion.com,www.corbion.com,5,1,Mold risk prediction manufacturer -site:alibaba.com,72,排名靠前(+20); 命中关键词: solution(+2)
20260312-102832,mdpi.com,www.mdpi.com,3,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,70,排名靠前(+20)
20260312-102832,wufi.de,wufi.de,5,1,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,70,排名靠前(+20)
20260312-102832,ycm.group,ycm.group,5,1,Mold risk prediction supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,igsgebojagema.nl,www.igsgebojagema.nl,1,1,Mold risk prediction manufacturer -site:alibaba.com,70,排名靠前(+20)
20260312-102832,marketreportsworld.com,www.marketreportsworld.com,1,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,coherentmarketinsights.com,www.coherentmarketinsights.com,5,1,mold growth forecast; mold hazard analysis supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,dwyeromega.com,www.dwyeromega.com,1,1,Humidity monitoring supplier -site:alibaba.com,70,排名靠前(+20)
20260312-102832,veris.com,www.veris.com,5,1,Humidity monitoring supplier -site:alibaba.com,70,排名靠前(+20)
